"Time","layer","Points:0","Points:1","Points:2","u.x","u.z","eta"
0.000000, 0, -0.392082, 0.000000, -0.499409, -0.003979, -0.000065, -0.019862
0.000000, 1, -0.392082, 0.000000, -0.332575, -0.012648, -0.000302, -0.019862
0.000000, 2, -0.392082, 0.000000, -0.222709, -0.029943, -0.000731, -0.019862
0.000000, 3, -0.392082, 0.000000, -0.150359, -0.053132, -0.001302, -0.019862
0.000000, 4, -0.392082, 0.000000, -0.102713, -0.077567, -0.001903, -0.019862
0.000000, 5, -0.392082, 0.000000, -0.071337, -0.099528, -0.002442, -0.019862
0.000000, 6, -0.392082, 0.000000, -0.050674, -0.117290, -0.002878, -0.019862
0.000000, 7, -0.392082, 0.000000, -0.037067, -0.130685, -0.003207, -0.019862
0.000000, 8, -0.392082, 0.000000, -0.028106, -0.140332, -0.003444, -0.019862
0.000000, 9, -0.392082, 0.000000, -0.022205, -0.147071, -0.003610, -0.019862
0.000000, 0, -0.385907, 0.000000, -0.499401, -0.003970, -0.000194, -0.019816
0.000000, 1, -0.385907, 0.000000, -0.332554, -0.012620, -0.000905, -0.019816
0.000000, 2, -0.385907, 0.000000, -0.222679, -0.029878, -0.002193, -0.019816
0.000000, 3, -0.385907, 0.000000, -0.150323, -0.053019, -0.003905, -0.019816
0.000000, 4, -0.385907, 0.000000, -0.102673, -0.077405, -0.005706, -0.019816
0.000000, 5, -0.385907, 0.000000, -0.071295, -0.099322, -0.007323, -0.019816
0.000000, 6, -0.385907, 0.000000, -0.050630, -0.117048, -0.008631, -0.019816
0.000000, 7, -0.385907, 0.000000, -0.037022, -0.130417, -0.009618, -0.019816
0.000000, 8, -0.385907, 0.000000, -0.028061, -0.140045, -0.010328, -0.019816
0.000000, 9, -0.385907, 0.000000, -0.022159, -0.146770, -0.010824, -0.019816
0.000000, 0, -0.379733, 0.000000, -0.499385, -0.003951, -0.000324, -0.019724
0.000000, 1, -0.379733, 0.000000, -0.332512, -0.012563, -0.001506, -0.019724
0.000000, 2, -0.379733, 0.000000, -0.222620, -0.029748, -0.003651, -0.019724
0.000000, 3, -0.379733, 0.000000, -0.150252, -0.052793, -0.006501, -0.019724
0.000000, 4, -0.379733, 0.000000, -0.102595, -0.077080, -0.009500, -0.019724
0.000000, 5, -0.379733, 0.000000, -0.071211, -0.098909, -0.012194, -0.019724
0.000000, 6, -0.379733, 0.000000, -0.050543, -0.116564, -0.014372, -0.019724
0.000000, 7, -0.379733, 0.000000, -0.036933, -0.129880, -0.016015, -0.019724
0.000000, 8, -0.379733, 0.000000, -0.027970, -0.139470, -0.017198, -0.019724
0.000000, 9, -0.379733, 0.000000, -0.022068, -0.146169, -0.018025, -0.019724
0.000000, 0, -0.373558, 0.000000, -0.499361, -0.003923, -0.000452, -0.019586
0.000000, 1, -0.373558, 0.000000, -0.332448, -0.012478, -0.002104, -0.019586
0.000000, 2, -0.373558, 0.000000, -0.222530, -0.029553, -0.005103, -0.019586
0.000000, 3, -0.373558, 0.000000, -0.150145, -0.052455, -0.009087, -0.019586
0.000000, 4, -0.373558, 0.000000, -0.102476, -0.076592, -0.013280, -0.019586
0.000000, 5, -0.373558, 0.000000, -0.071085, -0.098289, -0.017047, -0.019586
0.000000, 6, -0.373558, 0.000000, -0.050413, -0.115838, -0.020093, -0.019586
0.000000, 7, -0.373558, 0.000000, -0.036799, -0.129075, -0.022391, -0.019586
0.000000, 8, -0.373558, 0.000000, -0.027834, -0.138607, -0.024045, -0.019586
0.000000, 9, -0.373558, 0.000000, -0.021930, -0.145267, -0.025201, -0.019586
0.000000, 0, -0.367384, 0.000000, -0.499329, -0.003885, -0.000579, -0.019403
0.000000, 1, -0.367384, 0.000000, -0.332364, -0.012365, -0.002699, -0.019403
0.000000, 2, -0.367384, 0.000000, -0.222411, -0.029293, -0.006546, -0.019403
0.000000, 3, -0.367384, 0.000000, -0.150003, -0.052003, -0.011660, -0.019403
0.000000, 4, -0.367384, 0.000000, -0.102319, -0.075943, -0.017041, -0.019403
0.000000, 5, -0.367384, 0.000000, -0.070918, -0.097463, -0.021876, -0.019403
0.000000, 6, -0.367384, 0.000000, -0.050239, -0.114871, -0.025787, -0.019403
0.000000, 7, -0.367384, 0.000000, -0.036621, -0.128001, -0.028736, -0.019403
0.000000, 8, -0.367384, 0.000000, -0.027653, -0.137458, -0.030860, -0.019403
0.000000, 9, -0.367384, 0.000000, -0.021748, -0.144064, -0.032344, -0.019403
0.000000, 0, -0.361209, 0.000000, -0.499290, -0.003838, -0.000706, -0.019174
0.000000, 1, -0.361209, 0.000000, -0.332258, -0.012224, -0.003288, -0.019174
0.000000, 2, -0.361209, 0.000000, -0.222262, -0.028969, -0.007977, -0.019174
0.000000, 3, -0.361209, 0.000000, -0.149825, -0.051440, -0.014213, -0.019174
0.000000, 4, -0.361209, 0.000000, -0.102123, -0.075131, -0.020776, -0.019174
0.000000, 5, -0.361209, 0.000000, -0.070710, -0.096431, -0.026674, -0.019174
0.000000, 6, -0.361209, 0.000000, -0.050023, -0.113662, -0.031445, -0.019174
0.000000, 7, -0.361209, 0.000000, -0.036399, -0.126660, -0.035042, -0.019174
0.000000, 8, -0.361209, 0.000000, -0.027428, -0.136021, -0.037634, -0.019174
0.000000, 9, -0.361209, 0.000000, -0.021520, -0.142560, -0.039444, -0.019174
0.000000, 0, -0.355035, 0.000000, -0.499242, -0.003783, -0.000831, -0.018901
0.000000, 1, -0.355035, 0.000000, -0.332132, -0.012055, -0.003871, -0.018901
0.000000, 2, -0.355035, 0.000000, -0.222084, -0.028581, -0.009396, -0.018901
0.000000, 3, -0.355035, 0.000000, -0.149614, -0.050765, -0.016744, -0.018901
0.000000, 4, -0.355035, 0.000000, -0.101889, -0.074158, -0.024481, -0.018901
0.000000, 5, -0.355035, 0.000000, -0.070461, -0.095194, -0.031434, -0.018901
0.000000, 6, -0.355035, 0.000000, -0.049764, -0.112212, -0.037058, -0.018901
0.000000, 7, -0.355035, 0.000000, -0.036134, -0.125050, -0.041300, -0.018901
0.000000, 8, -0.355035, 0.000000, -0.027159, -0.134297, -0.044356, -0.018901
0.000000, 9, -0.355035, 0.000000, -0.021248, -0.140757, -0.046490, -0.018901
0.000000, 0, -0.348860, 0.000000, -0.499187, -0.003718, -0.000953, -0.018584
0.000000, 1, -0.348860, 0.000000, -0.331986, -0.011858, -0.004447, -0.018584
0.000000, 2, -0.348860, 0.000000, -0.221878, -0.028129, -0.010798, -0.018584
0.000000, 3, -0.348860, 0.000000, -0.149368, -0.049978, -0.019249, -0.018584
0.000000, 4, -0.348860, 0.000000, -0.101617, -0.073024, -0.028148, -0.018584
0.000000, 5, -0.348860, 0.000000, -0.070172, -0.093751, -0.036148, -0.018584
0.000000, 6, -0.348860, 0.000000, -0.049463, -0.110522, -0.042619, -0.018584
0.000000, 7, -0.348860, 0.000000, -0.035826, -0.123174, -0.047501, -0.018584
0.000000, 8, -0.348860, 0.000000, -0.026846, -0.132287, -0.051017, -0.018584
0.000000, 9, -0.348860, 0.000000, -0.020932, -0.138654, -0.053474, -0.018584
0.000000, 0, -0.342686, 0.000000, -0.499125, -0.003644, -0.001074, -0.018223
0.000000, 1, -0.342686, 0.000000, -0.331820, -0.011634, -0.005014, -0.018223
0.000000, 2, -0.342686, 0.000000, -0.221643, -0.027614, -0.012181, -0.018223
0.000000, 3, -0.342686, 0.000000, -0.149088, -0.049081, -0.021723, -0.018223
0.000000, 4, -0.342686, 0.000000, -0.101308, -0.071730, -0.031773, -0.018223
0.000000, 5, -0.342686, 0.000000, -0.069843, -0.092104, -0.040809, -0.018223
0.000000, 6, -0.342686, 0.000000, -0.049122, -0.108591, -0.048120, -0.018223
0.000000, 7, -0.342686, 0.000000, -0.035476, -0.121030, -0.053635, -0.018223
0.000000, 8, -0.342686, 0.000000, -0.026490, -0.129991, -0.057608, -0.018223
0.000000, 9, -0.342686, 0.000000, -0.020573, -0.136251, -0.060384, -0.018223
0.000000, 0, -0.336511, 0.000000, -0.499055, -0.003562, -0.001193, -0.017820
0.000000, 1, -0.336511, 0.000000, -0.331634, -0.011384, -0.005571, -0.017820
0.000000, 2, -0.336511, 0.000000, -0.221381, -0.027036, -0.013543, -0.017820
0.000000, 3, -0.336511, 0.000000, -0.148776, -0.048073, -0.024161, -0.017820
0.000000, 4, -0.336511, 0.000000, -0.100962, -0.070277, -0.035349, -0.017820
0.000000, 5, -0.336511, 0.000000, -0.069475, -0.090253, -0.045410, -0.017820
0.000000, 6, -0.336511, 0.000000, -0.048740, -0.106421, -0.053551, -0.017820
0.000000, 7, -0.336511, 0.000000, -0.035085, -0.118620, -0.059693, -0.017820
0.000000, 8, -0.336511, 0.000000, -0.026093, -0.127409, -0.064118, -0.017820
0.000000, 9, -0.336511, 0.000000, -0.020171, -0.133549, -0.067210, -0.017820
0.000000, 0, -0.330336, 0.000000, -0.498978, -0.003471, -0.001309, -0.017374
0.000000, 1, -0.330336, 0.000000, -0.331429, -0.011106, -0.006118, -0.017374
0.000000, 2, -0.330336, 0.000000, -0.221091, -0.026396, -0.014881, -0.017374
0.000000, 3, -0.330336, 0.000000, -0.148430, -0.046957, -0.026560, -0.017374
0.000000, 4, -0.330336, 0.000000, -0.100580, -0.068664, -0.038870, -0.017374
0.000000, 5, -0.330336, 0.000000, -0.069069, -0.088199, -0.049943, -0.017374
0.000000, 6, -0.330336, 0.000000, -0.048318, -0.104012, -0.058904, -0.017374
0.000000, 7, -0.330336, 0.000000, -0.034653, -0.115945, -0.065666, -0.017374
0.000000, 8, -0.330336, 0.000000, -0.025654, -0.124542, -0.070537, -0.017374
0.000000, 9, -0.330336, 0.000000, -0.019728, -0.130549, -0.073941, -0.017374
