ke, gpe, t
0.001569, 0.142341, 0.000000
0.001573, 0.142340, 1.000000
0.001580, 0.142340, 2.000000
0.001578, 0.142340, 3.000000
0.001569, 0.142340, 4.000000
0.001565, 0.142340, 5.000000
0.001570, 0.142340, 6.000000
0.001577, 0.142340, 7.000000
0.001574, 0.142340, 8.000000
0.001564, 0.142340, 9.000000
0.001562, 0.142340, 10.000000
0.001569, 0.142340, 11.000000
0.001574, 0.142339, 12.000000
0.001569, 0.142339, 13.000000
0.001560, 0.142340, 14.000000
0.001559, 0.142340, 15.000000
0.001567, 0.142339, 16.000000
0.001571, 0.142339, 17.000000
0.001564, 0.142339, 18.000000
0.001555, 0.142339, 19.000000
0.001556, 0.142339, 20.000000
0.001563, 0.142339, 21.000000
0.001565, 0.142339, 22.000000
0.001557, 0.142339, 23.000000
0.001549, 0.142339, 24.000000
0.001551, 0.142339, 25.000000
0.001558, 0.142338, 26.000000
0.001557, 0.142338, 27.000000
0.001548, 0.142339, 28.000000
0.001542, 0.142339, 29.000000
0.001544, 0.142339, 30.000000
0.001550, 0.142338, 31.000000
0.001548, 0.142338, 32.000000
0.001539, 0.142339, 33.000000
0.001534, 0.142339, 34.000000
0.001537, 0.142338, 35.000000
0.001543, 0.142338, 36.000000
0.001539, 0.142338, 37.000000
0.001530, 0.142339, 38.000000
0.001526, 0.142339, 39.000000
0.001531, 0.142338, 40.000000
0.001536, 0.142338, 41.000000
0.001532, 0.142338, 42.000000
0.001523, 0.142338, 43.000000
0.001521, 0.142338, 44.000000
0.001527, 0.142338, 45.000000
0.001531, 0.142338, 46.000000
0.001526, 0.142338, 47.000000
0.001518, 0.142338, 48.000000
0.001517, 0.142338, 49.000000
0.001524, 0.142337, 50.000000
0.001527, 0.142337, 51.000000
0.001521, 0.142337, 52.000000
0.001514, 0.142338, 53.000000
0.001515, 0.142337, 54.000000
0.001522, 0.142337, 55.000000
0.001523, 0.142337, 56.000000
0.001516, 0.142337, 57.000000
0.001510, 0.142337, 58.000000
0.001512, 0.142337, 59.000000
0.001518, 0.142337, 60.000000
0.001518, 0.142336, 61.000000
0.001510, 0.142337, 62.000000
0.001505, 0.142337, 63.000000
0.001508, 0.142337, 64.000000
0.001513, 0.142336, 65.000000
0.001512, 0.142336, 66.000000
0.001503, 0.142337, 67.000000
0.001498, 0.142337, 68.000000
0.001501, 0.142336, 69.000000
0.001506, 0.142336, 70.000000
0.001503, 0.142336, 71.000000
0.001494, 0.142336, 72.000000
0.001490, 0.142337, 73.000000
0.001494, 0.142336, 74.000000
0.001498, 0.142336, 75.000000
0.001494, 0.142336, 76.000000
0.001485, 0.142336, 77.000000
0.001482, 0.142336, 78.000000
0.001487, 0.142336, 79.000000
0.001491, 0.142336, 80.000000
0.001486, 0.142336, 81.000000
0.001477, 0.142336, 82.000000
0.001476, 0.142336, 83.000000
0.001481, 0.142336, 84.000000
0.001484, 0.142335, 85.000000
0.001478, 0.142336, 86.000000
0.001471, 0.142336, 87.000000
0.001471, 0.142336, 88.000000
0.001478, 0.142335, 89.000000
0.001479, 0.142335, 90.000000
0.001473, 0.142335, 91.000000
0.001467, 0.142335, 92.000000
0.001468, 0.142335, 93.000000
0.001474, 0.142335, 94.000000
0.001475, 0.142335, 95.000000
0.001469, 0.142335, 96.000000
0.001463, 0.142335, 97.000000
0.001465, 0.142335, 98.000000
0.001471, 0.142334, 99.000000
0.001470, 0.142334, 100.000000
